"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"freshMass"	"Total fresh mass of a sample"	"real"	"gram"	"ratio"	""	"*.####(round)"	"0.1373"	"both"	"DP"	"site-date"	"freshMass"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"solventVolume"	"Volume of solvent used in the extraction"	"real"	"milliliter"	"ratio"	""	"integer"	"30"	"both"	"DP"	"site-date"	"solventVolume"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"dilutionFactor"	"The factor by which the sample was diluted prior to analysis"	"real"	NA	"ratio"	""	"integer"	"1"	"both"	"DP"	"site-date"	"dilutionFactor"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"analyticalRepNumber"	"Number of the analytical replicate"	"unsigned integer"	"number"	"ordinal"	""	"integer"	"1"	"both"	"DP"	"site-date"	"analyticalRepNumber"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"Y"	""
22	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength1"	"The first wavelength used to measure chlorophyll and carotenoid content"	"real"	"nanometer"	"ratio"	""	"integer"	"665"	"both"	"DP"	"site-date"	"chlCarotWavelength1"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
23	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength2"	"The second wavelength used to measure chlorophyll and carotenoid content"	"real"	"nanometer"	"ratio"	""	"integer"	"652"	"both"	"DP"	"site-date"	"chlCarotWavelength2"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
24	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength3"	"The third wavelength used to measure chlorophyll and carotenoid content"	"real"	"nanometer"	"ratio"	""	"integer"	"470"	"both"	"DP"	"site-date"	"chlCarotWavelength3"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
25	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength4"	"The fourth wavelength used to measure chlorophyll and carotenoid content"	"real"	"nanometer"	"ratio"	""	"integer"	"750"	"both"	"DP"	"site-date"	"chlCarotWavelength4"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
26	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength1Abs"	"Absorbance values for the first wavelength used to measure chlorophyll and carotenoid content"	"real"	NA	"ratio"	""	"*.####(round)"	"0.6589"	"both"	"DP"	"site-date"	"chlCarotWavelength1Abs"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
27	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength2Abs"	"Absorbance values for the second wavelength used to measure chlorophyll and carotenoid content"	"real"	NA	"ratio"	""	"*.####(round)"	"0.3456"	"both"	"DP"	"site-date"	"chlCarotWavelength2Abs"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
28	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength3Abs"	"Absorbance values for the third wavelength used to measure chlorophyll and carotenoid content"	"real"	NA	"ratio"	""	"*.####(round)"	"0.8456"	"both"	"DP"	"site-date"	"chlCarotWavelength3Abs"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
29	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlCarotWavelength4Abs"	"Absorbance values for the fourth wavelength used to measure chlorophyll and carotenoid content"	"real"	NA	"ratio"	""	"*.####(round)"	"0.0237"	"both"	"DP"	"site-date"	"chlCarotWavelength4Abs"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
30	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"extractChlAConc"	"Calculated chlorophyll A concentration of the extract solution, dilution-corrected as needed"	"real"	"microgramsPerMilliliter"	"ratio"	""	"*.##(round)"	"1.52"	"both"	"DP"	"site-date"	"extractChlAConc"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
31	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"extractChlBConc"	"Calculated chlorophyll B concentration of the extract solution, dilution-corrected as needed"	"real"	"microgramsPerMilliliter"	"ratio"	""	"*.##(round)"	"0.76"	"both"	"DP"	"site-date"	"extractChlBConc"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
32	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"extractCarotConc"	"Calculated total carotenoid concentration of the extract solution, dilution-corrected as needed"	"real"	"microgramsPerMilliliter"	"ratio"	""	"*.##(round)"	"0.48"	"both"	"DP"	"site-date"	"extractCarotConc"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
33	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"relativeAccuracyScale"	"Indicator for the mean relative accuracy of standards analyzed as unknowns with a run of samples"	"string"	NA	"ordinal"	""	"LOV"	"0"	"both"	"DP"	"site-date"	"relativeAccuracyScale"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.chlRelativeAccuracyScale"	"N"	""
34	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"handlingQF"	"Quality flag for sample handling"	"string"	NA	"nominal"	""	"LOV"	"0"	"both"	"DP"	"site-date"	"handlingQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.chlHandlingQF"	"N"	""
35	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"measurementQF"	"Quality flag for sample measurement"	"string"	NA	"nominal"	""	"LOV"	"1"	"both"	"DP"	"site-date"	"measurementQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.chlMeasurementQF"	"N"	""
36	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"textDomain"	""	"asIs"	"had to re-extract with more mass"	"both"	"DP"	"site-date"	"remarks"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
37	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"EcoAnalysts"	"both"	"locationNameDP"	"site-date"	"laboratoryName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
38	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"NEON_ChlandCarotenoids_Methanol"	"both"	"DP"	"site-date"	"testMethod"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
39	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"analyzedBy"	"Name of lab personnel analyzing sample"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab technician name"	"both"	"DP"	"site-date"	"analyzedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
40	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"reviewedBy"	"Name of lab personnel who reviewed the data prior to submission"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab manager name"	"both"	"DP"	"site-date"	"reviewedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
41	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	"legacyData"	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB223"	"both"	"uid"	"lab-current"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"GENERATED"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"startDate"	"The start date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"resultStartDate"	"lab-current"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"resultEndDate"	"lab-current"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"analyte"	"Analyte or parameter measured"	"string"	NA	"nominal"	""	"LOV"	"chlorophyll A"	"both"	"DP"	"lab-current"	"analyte"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"cfc.chlAnalyte"	"Y"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"chlCarotEquationInput"	"Equation input for calculating chlorophyll or carotenoid content"	"string"	NA	"nominal"	""	"asIs"	"A665"	"both"	"DP"	"lab-current"	"chlCarotEquationInput"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"chlCarotExtinctionCoefficient"	"Parameter used for calculating chlorophyll or carotenoid content"	"real"	NA	"ratio"	""	"*.##(round)"	"16.72"	"both"	"DP"	"lab-current"	"chlCarotExtinctionCoefficient"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"ecReference"	"A list of sources (concatenated and semicolon separated) for the extinction coefficients"	"string"	NA	"textDomain"	""	"asIs"	"Lichtenthaler, H.K. (1987) Chlorophylls and Carotenoids: Pigments of Photosynthetic Biomembranes. Methods in Enzymology 148: 350-382. 2"	"both"	"DP"	"lab-current"	"ecReference"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"EcoAnalysts"	"both"	"DP"	"lab-current"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"ACTIVITY_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"NEON_ChlandCarotenoids_Methanol"	"both"	"DP"	"lab-current"	"testMethod"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"labSpecificStartDate"	"Date a specific analyte, instrument, and associated method detection limit combination started"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20150101"	"both"	"DP"	"lab-current"	"labSpecificStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"labSpecificEndDate"	"Date a specific analyte, instrument, and associated method detection limit combination ended"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	""	"both"	"DP"	"lab-current"	"labSpecificEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllParameters_pub"	"External lab parameters used in foliar chlorophyll measurements"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	""	"both"	"DP"	"lab-current"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllParameters_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB226"	"both"	"uid"	"lab-current"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"GENERATED"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"startDate"	"The start date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"resultStartDate"	"lab-current"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"both"	"resultEndDate"	"lab-current"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyte"	"Analyte or parameter measured"	"string"	NA	"nominal"	""	"LOV"	"chlorophyll A"	"both"	"DP"	"lab-current"	"analyte"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"cfc.chlAnalyte"	"Y"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyteUnits"	"Associated units of measure for analyte"	"string"	NA	"nominal"	""	"LOV"	"mg chlorophyll per mL"	"both"	"DP"	"lab-current"	"analyteUnits"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"cfc.chlAnalyteUnits"	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"sampleType"	"Type of sample"	"string"	NA	"nominal"	""	"LOV"	"chlorophyll A"	"both"	"DP"	"lab-current"	"sampleType"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"cfc.chlSampleType"	"Y"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"qaReferenceID"	"Identifier for quality assurance reference material or standard"	"string"	NA	"textDomain"	""	"asIs"	"5_Pure Chla_Spinach"	"both"	"DP"	"lab-current"	"qaReferenceID"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyteKnownValue"	"The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte"	"real"	NA	"ratio"	""	"*.##(round)"	"2.5"	"both"	"DP"	"lab-current"	"analyteKnownValue"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyteObservedValue"	"The measured value of a given analyte for a standard reference material, with units tied to the analyte"	"real"	NA	"ratio"	""	"*.##(round)"	"2.45"	"both"	"DP"	"lab-current"	"analyteObservedValue"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyteAbsoluteError"	"Long-term average absolute error, e.g. the difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.17"	"both"	"DP"	"lab-current"	"analyteAbsoluteError"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyteAccuracy"	"Long-term average accuracy, e.g. the absolute difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.17"	"both"	"DP"	"lab-current"	"analyteAccuracy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyllSummary_pub"	"Long-term uncertainty values for chlorophyll analyses"	"analyteStandardDeviation"	"Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.05"	"both"	"DP"	"lab-current"	"analyteStandardDeviation"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyllSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
